행정구역명,법정동코드,terrain,행정구역위도,행정구역경도,기상지역명,기상지역유형,기상지역위도,기상지역경도,EPW파일명
대전광역시 서구,3017000000,Suburbs,36.28031653,127.3451784,대전 기상대,WS,36.3719,127.3722,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023.epw
대전광역시 유성구,3020000000,Suburbs,36.37679669,127.3332738,대전 기상대,WS,36.3719,127.3722,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023.epw
대전광역시 대덕구,3023000000,Suburbs,36.41227074,127.4401412,대전 기상대,WS,36.3719,127.3722,KOR_TJ_Daejeon.WS.471330_TMYx.2009-2023.epw
울산광역시 중구,3111000000,Suburbs,35.57105445,129.3082453,울산,일반 지역,35.593,129.352,KOR_UL_Ulsan.471520_TMYx.2009-2023.epw
울산광역시 남구,3114000000,Suburbs,35.51478389,129.3298802,울산,일반 지역,35.593,129.352,KOR_UL_Ulsan.471520_TMYx.2009-2023.epw
울산광역시 동구,3117000000,Suburbs,35.52527905,129.4262766,울산,일반 지역,35.593,129.352,KOR_UL_Ulsan.471520_TMYx.2009-2023.epw
울산광역시 북구,3120000000,Suburbs,35.61003499,129.3800189,울산,일반 지역,35.593,129.352,KOR_UL_Ulsan.471520_TMYx.2009-2023.epw
울산광역시 울주군,3171000000,Suburbs,35.54603265,129.1876987,울산,일반 지역,35.593,129.352,KOR_UL_Ulsan.471520_TMYx.2009-2023.epw
세종특별자치시 세종시,3611000000,Suburbs,36.56073555,127.2587154,공주,일반 지역,36.5,127.2,KOR_HN_Gongju.692214_TMYx.2009-2023.epw
경기도 수원시 장안구,4111100000,Suburbs,37.31397099,127.0034464,수원 기상대,WS,37.2722,126.9853,KOR_KG_Suwon.WS.471190_TMYx.2009-2023.epw
경기도 수원시 권선구,4111300000,Suburbs,37.26052599,126.9797499,수원 기상대,WS,37.2722,126.9853,KOR_KG_Suwon.WS.471190_TMYx.2009-2023.epw
경기도 수원시 팔달구,4111500000,Suburbs,37.27745944,127.0162458,수원 기상대,WS,37.2722,126.9853,KOR_KG_Suwon.WS.471190_TMYx.2009-2023.epw
경기도 수원시 영통구,4111700000,Suburbs,37.27503118,127.056723,수원 공항,AP,37.239,127.007,KOR_KG_Suwon.AP.471200_TMYx.2009-2023.epw
경기도 성남시 수정구,4113100000,Suburbs,37.43526627,127.1042137,서울 성남 공항,AP,37.446,127.114,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023.epw
경기도 성남시 중원구,4113300000,Suburbs,37.4334298,127.1638991,서울 성남 공항,AP,37.446,127.114,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023.epw
경기도 성남시 분당구,4113500000,Suburbs,37.37933363,127.106021,서울 성남 공항,AP,37.446,127.114,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023.epw
경기도 의정부시,4115000000,Suburbs,37.73619267,127.0684298,H-207 헬기장,일반 지역,37.719,127.099,KOR_KG_H-207.Heli.471064_TMYx.2007-2021.epw
경기도 안양시 만안구,4117100000,Suburbs,37.404127,126.9113813,수원 기상대,WS,37.2722,126.9853,KOR_KG_Suwon.WS.471190_TMYx.2009-2023.epw
경기도 안양시 동안구,4117300000,Suburbs,37.40039979,126.9554235,수원 기상대,WS,37.2722,126.9853,KOR_KG_Suwon.WS.471190_TMYx.2009-2023.epw
경기도 부천시 원미구,4119200000,Suburbs,37.49981349,126.7789833,김포 국제공항,AP,37.558,126.791,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023.epw
경기도 부천시 소사구,4119400000,Suburbs,37.47495025,126.7967775,김포 국제공항,AP,37.558,126.791,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023.epw
경기도 부천시 오정구,4119600000,Suburbs,37.52762153,126.7934226,김포 국제공항,AP,37.558,126.791,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023.epw
경기도 광명시,4121000000,Suburbs,37.44516579,126.8647,김포 국제공항,AP,37.558,126.791,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023.epw
경기도 평택시,4122000000,Suburbs,37.01530702,126.9931775,평택 공항,AP,36.967,127.033,KOR_KG_Pyeongtaek.AP.471270_TMYx.2009-2023.epw
경기도 동두천시,4125000000,Suburbs,37.91654234,127.0779023,동두천,일반 지역,37.902,127.0608,KOR_KG_Dongducheon.470980_TMYx.2009-2023.epw
경기도 안산시 상록구,4127100000,Suburbs,37.31568571,126.8705697,수원 기상대,WS,37.2722,126.9853,KOR_KG_Suwon.WS.471190_TMYx.2009-2023.epw
경기도 안산시 단원구,4127300000,Suburbs,37.27785757,126.6834022,인천 기상대,WS,37.4778,126.625,KOR_IN_Incheon.WS.471120_TMYx.2009-2023.epw
경기도 고양시 덕양구,4128100000,Suburbs,37.65582031,126.878657,국립중앙박물관,일반 지역,37.522,126.979,KOR_SO_Seoul.WS.471080_TMYx.2009-2023.epw
경기도 고양시 일산동구,4128500000,Suburbs,37.67979035,126.7973645,김포 국제공항,AP,37.558,126.791,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023.epw
경기도 고양시 일산서구,4128700000,Suburbs,37.68032513,126.7278596,김포 국제공항,AP,37.558,126.791,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023.epw
경기도 과천시,4129000000,Suburbs,37.43384522,127.002679,서울 성남 공항,AP,37.446,127.114,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023.epw
경기도 구리시,4131000000,Suburbs,37.59919954,127.131217,H-207 헬기장,일반 지역,37.719,127.099,KOR_KG_H-207.Heli.471064_TMYx.2007-2021.epw
경기도 남양주시,4136000000,Suburbs,37.66255514,127.2436392,양수리,일반 지역,37.6,127.35,KOR_KG_Yangsu.Ri.693594_TMYx.2009-2023.epw
경기도 오산시,4137000000,Suburbs,37.16329326,127.0513238,오산 공군기지,AB,37.091,127.03,KOR_KG_Osan.AB.471220_TMYx.2009-2023.epw
경기도 시흥시,4139000000,Suburbs,37.38607857,126.7835841,김포 국제공항,AP,37.558,126.791,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023.epw
경기도 군포시,4141000000,Suburbs,37.34347499,126.9210814,수원 기상대,WS,37.2722,126.9853,KOR_KG_Suwon.WS.471190_TMYx.2009-2023.epw
경기도 의왕시,4143000000,Suburbs,37.36238956,126.9896228,수원 기상대,WS,37.2722,126.9853,KOR_KG_Suwon.WS.471190_TMYx.2009-2023.epw
경기도 하남시,4145000000,Suburbs,37.52282055,127.2059439,서울 성남 공항,AP,37.446,127.114,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023.epw
경기도 용인시 처인구,4146100000,Suburbs,37.20336949,127.2529054,매산리,일반 지역,37.35,127.267,KOR_KG_Maesanri.471205_TMYx.2009-2023.epw
경기도 용인시 기흥구,4146300000,Suburbs,37.26742541,127.1213466,수원 공항,AP,37.239,127.007,KOR_KG_Suwon.AP.471200_TMYx.2009-2023.epw
경기도 용인시 수지구,4146500000,Suburbs,37.33343944,127.0715658,수원 기상대,WS,37.2722,126.9853,KOR_KG_Suwon.WS.471190_TMYx.2009-2023.epw
경기도 파주시,4148000000,Suburbs,37.85557043,126.8095137,파주,일반 지역,37.8858,126.7664,KOR_KG_Paju.470990_TMYx.2009-2023.epw
경기도 이천시,4150000000,Suburbs,37.209832,127.4809299,이천,일반 지역,37.2639,127.4842,KOR_KG_Icheon.470970_TMYx.2009-2023.epw
경기도 안성시,4155000000,Suburbs,37.03502512,127.3027602,천안,일반 지역,36.7625,127.2928,KOR_HN_Cheonan.471450_TMYx.2009-2023.epw
경기도 김포시,4157000000,Suburbs,37.68084475,126.6257845,인천 기상대,WS,37.4778,126.625,KOR_IN_Incheon.WS.471120_TMYx.2009-2023.epw
경기도 화성시,4159000000,Suburbs,37.16979674,126.8569113,수원 기상대,WS,37.2722,126.9853,KOR_KG_Suwon.WS.471190_TMYx.2009-2023.epw
경기도 광주시,4161000000,Suburbs,37.40311998,127.3011721,매산리,일반 지역,37.35,127.267,KOR_KG_Maesanri.471205_TMYx.2009-2023.epw
경기도 양주시,4163000000,Suburbs,37.80869941,127.0011584,광적,일반 지역,37.817,126.983,KOR_KG_Gwangjeok.693604_TMYx.2009-2023.epw
경기도 포천시,4165000000,Suburbs,37.96989249,127.2504237,철원,일반 지역,38.1478,127.3042,KOR_KW_Cheorwon.470950_TMYx.2009-2023.epw
경기도 여주시,4167000000,Suburbs,37.30250765,127.6156706,여주 사격장,일반 지역,37.4334,127.6295,KOR_KG_Yeoju.Range.471315_TMYx.2009-2023.epw
경기도 연천군,4180000000,Suburbs,38.09708738,127.0238912,동두천,일반 지역,37.902,127.0608,KOR_KG_Dongducheon.470980_TMYx.2009-2023.epw
경기도 가평군,4182000000,Suburbs,37.81856667,127.450192,가평,일반 지역,37.8306,127.5055,KOR_KG_Gapyeong.692114_TMYx.2009-2023.epw
경기도 양평군,4183000000,Suburbs,37.51803657,127.5791946,여주 사격장,일반 지역,37.4334,127.6295,KOR_KG_Yeoju.Range.471315_TMYx.2009-2023.epw
강원특별자치도 춘천시,5111000000,Suburbs,37.88984999,127.7399545,철원,일반 지역,38.1478,127.3042,KOR_KW_Chuncheon.471010_TMYx.2009-2023.epw
강원특별자치도 원주시,5113000000,Suburbs,37.30825699,127.9295363,원주 기상대,WS,37.3375,127.9467,KOR_KW_Wonju.WS.471140_TMYx.2009-2023.epw
강원특별자치도 강릉시,5115000000,Suburbs,37.70930415,128.8324849,강릉,일반 지역,37.7514,128.8911,KOR_KW_Gangneung.471050_TMYx.2009-2023.epw
강원특별자치도 동해시,5117000000,Suburbs,37.50690447,129.0558412,동해 레이더,일반 지역,37.5069,129.1244,KOR_KW_Donghae.Radar.471060_TMYx.2009-2023.epw
강원특별자치도 태백시,5119000000,Suburbs,37.17236675,128.9800568,태백 도립공원,일반 지역,37.1212,128.9079,KOR_KW_Taebaek.Provincial.Park.471223_TMYx.2009-2023.epw
강원특별자치도 속초시,5121000000,Suburbs,38.17611044,128.5198085,속초,일반 지역,38.2508,128.5647,KOR_KW_Sokcho.470900_TMYx.2009-2023.epw
강원특별자치도 삼척시,5123000000,Suburbs,37.27751001,129.1221641,동해 레이더,일반 지역,37.5069,129.1244,KOR_KW_Donghae.Radar.471060_TMYx.2009-2023.epw
강원특별자치도 홍천군,5172000000,Suburbs,37.74486665,128.074507,홍천,일반 지역,37.683,127.883,KOR_KW_Hongchon.693624_TMYx.2009-2023.epw
강원특별자치도 횡성군,5173000000,Suburbs,37.5089858,128.0771216,원주 기상대,WS,37.3375,127.9467,KOR_KW_Wonju.WS.471140_TMYx.2009-2023.epw
강원특별자치도 영월군,5175000000,Suburbs,37.20394361,128.5002373,영월 기상대,WS,37.1814,128.4575,KOR_KW_Yeongwol.WS.471210_TMYx.2009-2023.epw
강원특별자치도 평창군,5176000000,Suburbs,37.55699107,128.4827677,대관령,일반 지역,37.6772,128.7183,KOR_KW_Daegwallyeong.471000_TMYx.2009-2023.epw
강원특별자치도 정선군,5177000000,Suburbs,37.37878554,128.7390663,대관령,일반 지역,37.6772,128.7183,KOR_KW_Daegwallyeong.471000_TMYx.2009-2023.epw
강원특별자치도 철원군,5178000000,Suburbs,38.24379311,127.4135379,김화,일반 지역,38.25,127.417,KOR_KW_Gimhwa.692174_TMYx.2009-2023.epw
강원특별자치도 화천군,5179000000,Suburbs,38.13843324,127.6852023,대성산,일반 지역,38.2,127.55,KOR_KW_Taesong.San.471025_TMYx.2007-2021.epw
강원특별자치도 양구군,5180000000,Suburbs,38.17812046,128.0012555,양구,일반 지역,38.117,128.033,KOR_KW_Yanggu.692094_TMYx.2009-2023.epw
강원특별자치도 인제군,5181000000,Suburbs,38.06900141,128.2633039,인제 신남리,일반 지역,37.967,128.083,KOR_KW_Inje-Sinnam-ri.692084_TMYx.2009-2023.epw
강원특별자치도 고성군,5182000000,Suburbs,38.37738329,128.3999153,거진,일반 지역,38.45,128.45,KOR_KW_Geojin.470800_TMYx.2009-2023.epw
